Name_1,Name_2,Name_3,Taxa,Abundance
8,2010,,Chaetopterygini/Stenophylacini Gen. sp.,20
8,2010,,Rhyacophila intermedia,2
8,2010,,Dictyogenus alpinum,15
8,2010,,Leuctra sp.,11
8,2010,,Nemoura mortoni,17
8,2010,,Siphonoperla montana,1
8,2010,,Baetis sp.,102
8,2010,,Ecdyonurus alpinus,29
8,2010,,Turbellaria Gen. sp.,11
8,2010,,Oligochaeta Gen. sp.,3
8,2010,,Athericidae Gen. sp.,1
8,2010,,Ceratopogonidae Gen. sp.,3
8,2010,,Chironomidae Gen. sp.,11
8,2010,,Dixidae Gen. sp.,1
8,2010,,Empididae Gen. sp.,4
8,2010,,Limoniidae Gen. sp.,11
8,2010,,Psychodidae Gen. sp.,2
8,2010,,Simuliidae Gen. sp.,11
2,2012,,Baetidae Gen. sp.,106
5,2012,,Baetis sp.,11
6,2012,,Baetidae Gen. sp.,12
2,2012,,Ecdyonurus venosus,3
2,2012,,Habrophlebia lauta,11
2,2012,,Chaetopterygini/Stenophylacini Gen. sp.,3
2,2012,,Plectrocnemia sp.,3
2,2012,,Rhyacophila sp.,19
2,2012,,Tinodes sp.,11
5,2012,,Ecdyonurus helveticus-Gr.,20
5,2012,,Chloroperla susemicheli,11
5,2012,,Isoperla sp.,3
5,2012,,Leuctra sp.,7
5,2012,,Nemoura mortoni,18
6,2012,,Ecdyonurus helveticus-Gr.,19
6,2012,,Chloroperla susemicheli,8
6,2012,,Dictyogenus sp.,3
6,2012,,Leuctra sp.,8
5,2012,,Chaetopterygini/Stenophylacini Gen. sp.,4
5,2012,,Rhyacophila intermedia,2
6,2012,,Chaetopterygini/Stenophylacini Gen. sp.,12
6,2012,,Sericostoma sp.,1
2,2012,,Turbellaria Gen. sp.,1
2,2012,,Oligochaeta Gen. sp.,11
2,2012,,Hydrachnidia Gen. sp.,11
2,2012,,Gammaridae Gen. sp.,101
2,2012,,Elmidae Gen. sp.,11
2,2012,,Chironomidae Gen. sp.,11
2,2012,,Empididae Gen. sp.,7
2,2012,,Limoniidae Gen. sp.,11
2,2012,,Psychodidae Gen. sp.,1
2,2012,,Simuliidae Gen. sp.,11
5,2012,,Muscidae Gen. sp.,1
5,2012,,Athericidae Gen. sp.,5
5,2012,,Ceratopogonidae Gen. sp.,1
5,2012,,Chironomidae Gen. sp.,3
5,2012,,Limoniidae Gen. sp.,2
5,2012,,Psychodidae Gen. sp.,1
5,2012,,Simuliidae Gen. sp.,5
6,2012,,Athericidae Gen. sp.,3
6,2012,,Chironomidae Gen. sp.,11
6,2012,,Dixidae Gen. sp.,6
6,2012,,Empididae Gen. sp.,1
6,2012,,Limoniidae Gen. sp.,1
6,2012,,Simuliidae Gen. sp.,11
6,2012,,Stratiomyiidae Gen. sp.,2
1,2013,,Baetidae Gen. sp.,33
1,2013,,Ecdyonurus helveticus,26
1,2013,,Habroleptoides auberti,7
1,2013,,Brachyptera risi,11
1,2013,,Isoperla sp.,11
1,2013,,Leuctra major,12
1,2013,,Nemoura sp.,33
1,2013,,Perla marginata,8
1,2013,,Chaetopterygini/Stenophylacini Gen. sp.,18
1,2013,,Glossosoma sp.,4
1,2013,,Hydropsyche sp.,11
1,2013,,Odontocerum albicorne,3
1,2013,,Philopotamus ludificatus,6
1,2013,,Rhyacophila sp.,3
1,2013,,Sericostoma sp.,3
1,2013,,Turbellaria Gen. sp.,3
1,2013,,Oligochaeta Gen. sp.,11
1,2013,,Gammaridae Gen. sp.,1
1,2013,,Elmidae Gen. sp.,9
1,2013,,Hydraenidae Gen. sp.,5
1,2013,,Scirtidae Gen. sp.,6
1,2013,,Athericidae Gen. sp.,6
1,2013,,Chironomidae Gen. sp.,11
1,2013,,Dixidae Gen. sp.,2
1,2013,,Empididae Gen. sp.,3
1,2013,,Limoniidae Gen. sp.,11
1,2013,,Psychodidae Gen. sp.,2
1,2013,,Simuliidae Gen. sp.,2
1,2013,,Stratiomyiidae Gen. sp.,2
9,2014,,Baetis sp.,11
9,2014,,Rhithrogena alpestris,20
9,2014,,Isoperla sp.,2
9,2014,,Leuctra sp.,101
9,2014,,Chaetopterygini/Stenophylacini Gen. sp.,11
9,2014,,Glossosoma sp.,7
9,2014,,Rhyacophila sp.,9
9,2014,,Turbellaria Gen. sp.,4
9,2014,,Oligochaeta Gen. sp.,11
9,2014,,Ceratopogonidae Gen. sp.,4
9,2014,,Chironomidae Gen. sp.,11
9,2014,,Limoniidae Gen. sp.,11
9,2014,,Psychodidae Gen. sp.,1
9,2014,,Simuliidae Gen. sp.,11
4,2016,,Baetidae Gen. sp.,88
10,2016,,Baetis sp.,101
4,2016,,Habroleptoides confusa,2
4,2016,,Amphinemura sulcicollis/triangularis,90
4,2016,,Brachyptera risi,101
4,2016,,Capnioneura nemuroides,22
4,2016,,Dinocras cephalotes,9
4,2016,,Isoperla sp.,5
4,2016,,Leuctra sp.,101
4,2016,,Chaetopterygini/Stenophylacini Gen. sp.,5
4,2016,,Glossosoma sp.,7
4,2016,,Hydropsyche sp.,101
4,2016,,Odontocerum albicorne,8
4,2016,,Philopotamus ludificatus,4
4,2016,,Rhyacophila sp.,13
4,2016,,Tinodes sp.,4
10,2016,,Ecdyonurus picteti,44
10,2016,,Dictyogenus sp.,11
10,2016,,Leuctra sp.,101
10,2016,,Nemoura mortoni,207
10,2016,,Siphonoperla montana,11
10,2016,,Drusus discolor,16
4,2016,,Ecdyonurus helveticus-Gr.,95
4,2016,,Turbellaria Gen. sp.,2
4,2016,,Oligochaeta Gen. sp.,11
4,2016,,Sphaeriidae Gen. sp.,1
4,2016,,Hydrachnidia Gen. sp.,8
4,2016,,Gammaridae Gen. sp.,11
4,2016,,Dytiscidae Gen. sp.,2
4,2016,,Elmidae Gen. sp.,11
4,2016,,Hydraenidae Gen. sp.,11
4,2016,,Scirtidae Gen. sp.,2
4,2016,,Athericidae Gen. sp.,11
4,2016,,Ceratopogonidae Gen. sp.,11
4,2016,,Chironomidae Gen. sp.,101
4,2016,,Dixidae Gen. sp.,1
4,2016,,Empididae Gen. sp.,3
4,2016,,Limoniidae Gen. sp.,11
4,2016,,Psychodidae Gen. sp.,1
4,2016,,Simuliidae Gen. sp.,11
10,2016,,Turbellaria Gen. sp.,101
10,2016,,Oligochaeta Gen. sp.,1
10,2016,,Athericidae Gen. sp.,55
10,2016,,Chironomidae Gen. sp.,101
10,2016,,Limoniidae Gen. sp.,2
10,2016,,Simuliidae Gen. sp.,11
7,2017,,Chloroperla susemicheli,10
7,2017,,Dictyogenus sp.,13
7,2017,,Nemoura mortoni,62
7,2017,,Leuctra sp.,27
3,2017,,Chaetopterygini/Stenophylacini Gen. sp.,8
7,2017,,Baetis sp.,51
7,2017,,Ecdyonurus alpinus,34
7,2017,,Chaetopterygini/Stenophylacini Gen. sp.,47
7,2017,,Rhyacophila intermedia,9
3,2017,,Dytiscidae Gen. sp.,1
3,2017,,Chironomidae Gen. sp.,1
3,2017,,Limoniidae Gen. sp.,1
3,2017,,Simuliidae Gen. sp.,101
7,2017,,Turbellaria Gen. sp.,11
7,2017,,Oligochaeta Gen. sp.,10
7,2017,,Hydrachnidia Gen. sp.,1
7,2017,,Helophoridae Gen. sp.,2
7,2017,,Scirtidae Gen. sp.,1
7,2017,,Athericidae Gen. sp.,8
7,2017,,Ceratopogonidae Gen. sp.,1
7,2017,,Chironomidae Gen. sp.,101
7,2017,,Dixidae Gen. sp.,1
7,2017,,Limoniidae Gen. sp.,10
7,2017,,Psychodidae Gen. sp.,2
7,2017,,Simuliidae Gen. sp.,11
